"from","to","vessels","xx","yx","xy","yy"
"Mainland Mooring 35","Mainland Oysters 21",1,174.115811762778,-35.2454224835259,174.128783634167,-35.2517751985
"Mainland Mooring 36","Mainland Marina 2",1,174.234434919178,-35.2312827907832,174.1034276155,-35.24046385095
"Mainland Mooring 36","Mainland Mooring 46",1,174.234434919178,-35.2312827907832,174.388682827,-35.3907587621
"Mainland Mooring 36","Mainland Oysters 21",5,174.234434919178,-35.2312827907832,174.128783634167,-35.2517751985
"Mainland Mooring 36","Mainland Oysters 22",1,174.234434919178,-35.2312827907832,174.222283953,-35.2200093351
"Mainland Mooring 39","Mainland Marina 9",1,174.626395503,-36.0884419507,174.7806808478,-36.84457156828
"Mainland Mooring 41","Mainland Mooring 36",2,174.551119822,-35.6207688664667,174.234434919178,-35.2312827907832
"Mainland Mooring 41","Mainland Mooring 47",1,174.551119822,-35.6207688664667,174.341140291,-35.312858297
"Mainland Mooring 41","Mainland Oysters 21",1,174.551119822,-35.6207688664667,174.128783634167,-35.2517751985
"Mainland Mooring 42","Mainland CHS 7",1,174.5217148356,-35.83060401092,174.578852967,-35.7403713299
"Mainland Mooring 42","Mainland Mooring 52",1,174.5217148356,-35.83060401092,175.3452219984,-36.16394118716
"Mainland Mooring 42","Mainland Mooring 54",1,174.5217148356,-35.83060401092,174.726266053333,-36.4982412371667
"Mainland Mooring 42","Mainland Oysters 21",1,174.5217148356,-35.83060401092,174.128783634167,-35.2517751985
"Mainland Mooring 42","Mainland Oysters 22",1,174.5217148356,-35.83060401092,174.222283953,-35.2200093351
"Mainland Mooring 42","Mainland Oysters 23",5,174.5217148356,-35.83060401092,174.459996629,-35.817853824
"Mainland Mooring 44","Mainland Marina 1",1,173.7677530242,-35.00289248482,173.741918150416,-35.0639430610256
"Mainland Mooring 44","Mainland Mooring 51",1,173.7677530242,-35.00289248482,175.394999821667,-36.2618971699
"Mainland Mooring 46","Mainland Oysters 21",1,174.388682827,-35.3907587621,174.128783634167,-35.2517751985
"Mainland Mooring 47","Mainland Mooring 36",1,174.341140291,-35.312858297,174.234434919178,-35.2312827907832
"Mainland Mooring 49","Mainland Marina 9",1,174.8046800095,-36.30038057365,174.7806808478,-36.84457156828
"Mainland Mooring 50","Mainland Beach 29",2,175.484314823333,-36.3264657695333,175.482161136333,-36.1545944806333
"Mainland Mooring 50","Mainland Island 11",1,175.484314823333,-36.3264657695333,175.87468265475,-36.64255098635
"Mainland Mooring 50","Mainland Island 72",1,175.484314823333,-36.3264657695333,175.170341349,-36.7229927366
"Mainland Mooring 50","Mainland Island 75",2,175.484314823333,-36.3264657695333,174.889879607,-36.6008138366
"Mainland Mooring 50","Mainland Island 77",1,175.484314823333,-36.3264657695333,175.771635409,-36.4365505837
"Mainland Mooring 50","Mainland Marina 12",1,175.484314823333,-36.3264657695333,175.860119601,-37.0004760284
"Mainland Mooring 50","Mainland Marina 6",6,175.484314823333,-36.3264657695333,174.788355122,-36.620952782
"Mainland Mooring 50","Mainland Marina 8",1,175.484314823333,-36.3264657695333,174.673938038,-36.8181676908
"Mainland Mooring 50","Mainland Marina 9",147,175.484314823333,-36.3264657695333,174.7806808478,-36.84457156828
"Mainland Mooring 50","Mainland Mooring 11",1,175.484314823333,-36.3264657695333,177.02729353,-37.937372686
"Mainland Mooring 50","Mainland Mooring 25",1,175.484314823333,-36.3264657695333,175.434166988,-36.8246320442
"Mainland Mooring 50","Mainland Mooring 28",6,175.484314823333,-36.3264657695333,175.772892556,-36.6005389888
"Mainland Mooring 50","Mainland Mooring 29",2,175.484314823333,-36.3264657695333,175.814958883,-36.7608098067
"Mainland Mooring 50","Mainland Mooring 30",2,175.484314823333,-36.3264657695333,175.7147572755,-36.82193521195
"Mainland Mooring 50","Mainland Mooring 32",1,175.484314823333,-36.3264657695333,175.876411192,-37.196956871
"Mainland Mooring 50","Mainland Mooring 42",2,175.484314823333,-36.3264657695333,174.5217148356,-35.83060401092
"Mainland Mooring 50","Mainland Mooring 49",1,175.484314823333,-36.3264657695333,174.8046800095,-36.30038057365
"Mainland Mooring 50","Mainland Mooring 51",14,175.484314823333,-36.3264657695333,175.394999821667,-36.2618971699
"Mainland Mooring 50","Mainland Mooring 52",15,175.484314823333,-36.3264657695333,175.3452219984,-36.16394118716
"Mainland Mooring 50","Mainland Mooring 58",3,175.484314823333,-36.3264657695333,174.984934641667,-36.7547664897667
"Mainland Mooring 50","Mainland Mooring 59",1,175.484314823333,-36.3264657695333,175.0339161016,-36.82694775294
"Mainland Mooring 50","Mainland Mooring 62",1,175.484314823333,-36.3264657695333,174.9063578104,-36.88621788714
"Mainland Mooring 50","Mainland Mooring 64",35,175.484314823333,-36.3264657695333,174.799140037429,-36.8335831537
