"from","to","vessels","xx","yx","xy","yy"
"Mainland Island 114","Mainland MR 5",1,168.268351780667,-46.9020952481,168.109126032,-46.9407330659
"Mainland Island 12","Mainland CHS 63",1,175.151978722846,-35.9332637060846,175.4310681485,-36.1081288082
"Mainland Island 12","Mainland Mooring 42",1,175.151978722846,-35.9332637060846,174.5217148356,-35.83060401092
"Mainland Island 122","Mainland Beach 44",1,166.475895320733,-45.7779455853533,167.642729505,-47.2119568174
"Mainland Island 129","Mainland Marina 15",1,177.892005599,-39.0656969722,178.025686769,-38.6865385205
"Mainland Island 129","Mainland Marina 16",1,177.892005599,-39.0656969722,176.892343211,-39.4832270598
"Mainland Island 129","Mainland Marina 18",1,177.892005599,-39.0656969722,174.826126683,-41.348271853125
"Mainland Island 13","Mainland Beach 24",1,174.732162756087,-35.9507358592261,175.484194055333,-36.2454641751333
"Mainland Island 13","Mainland CHS 12",1,174.732162756087,-35.9507358592261,175.553474939,-36.5884764734
"Mainland Island 13","Mainland Marina 7",1,174.732162756087,-35.9507358592261,174.769023108,-36.7416808893
"Mainland Island 13","Mainland Marina 9",7,174.732162756087,-35.9507358592261,174.7806808478,-36.84457156828
"Mainland Island 13","Mainland Mooring 43",1,174.732162756087,-35.9507358592261,174.4161348288,-35.80984225945
"Mainland Island 13","Mainland Mooring 64",1,174.732162756087,-35.9507358592261,174.799140037429,-36.8335831537
"Mainland Island 13","Mainland Mussels 29",1,174.732162756087,-35.9507358592261,175.341963074222,-36.1619629048222
"Mainland Island 14","Mainland Island 13",1,174.732904555397,-35.8887008695667,174.732162756087,-35.9507358592261
"Mainland Island 14","Mainland Island 79",1,174.732904555397,-35.8887008695667,175.470518094,-36.133401488375
"Mainland Island 14","Mainland Island 82",2,174.732904555397,-35.8887008695667,175.104534529658,-35.9100054935395
"Mainland Island 14","Mainland Mooring 41",1,174.732904555397,-35.8887008695667,174.551119822,-35.6207688664667
"Mainland Island 14","Mainland Mooring 42",4,174.732904555397,-35.8887008695667,174.5217148356,-35.83060401092
"Mainland Island 14","Mainland Mooring 46",1,174.732904555397,-35.8887008695667,174.388682827,-35.3907587621
