from,to,fromnID,tonID,vessels,Perc_tot,xx,yx,xy,yy
Mainland Mooring 50,Mainland Island 63,1130,1556,1,0.008832362,175.4843148,-36.32646577,175.9197145,-37.08604227
Mainland Marina 6,Mainland Island 63,1058,1556,1,0.008832362,174.7883551,-36.62095278,175.9197145,-37.08604227
Mainland Island 11,Mainland Island 63,1472,1556,1,0.008832362,175.8746827,-36.64255099,175.9197145,-37.08604227
Mainland MR 2,Mainland Island 63,1185,1556,32,0.282635577,176.2608625,-37.26126482,175.9197145,-37.08604227
Mainland Mussels 22,Mainland Island 63,1632,1556,1,0.008832362,175.4674524,-36.51428026,175.9197145,-37.08604227
Mainland Mooring 9,Mainland Island 63,1089,1556,3,0.026497085,176.1834135,-37.66859873,175.9197145,-37.08604227
Mainland CHS 7,Mainland Island 63,1231,1556,1,0.008832362,174.578853,-35.74037133,175.9197145,-37.08604227
Mainland Marina 14,Mainland Island 63,1066,1556,40,0.353294471,176.1807249,-37.667248,175.9197145,-37.08604227
Mainland Oysters 19,Mainland Island 63,1677,1556,1,0.008832362,175.6961025,-36.82228676,175.9197145,-37.08604227
Mainland Mooring 28,Mainland Island 63,1108,1556,5,0.044161809,175.7728926,-36.60053899,175.9197145,-37.08604227
Mainland Mooring 29,Mainland Island 63,1109,1556,3,0.026497085,175.8149589,-36.76080981,175.9197145,-37.08604227
Mainland Island 10,Mainland Island 63,1471,1556,8,0.070658894,175.7935763,-36.69853323,175.9197145,-37.08604227
Mainland Aquaculture 3,Mainland Island 63,1679,1556,1,0.008832362,174.091542,-35.22973932,175.9197145,-37.08604227
Mainland Mooring 8,Mainland Island 63,1088,1556,2,0.017664724,176.0536736,-37.63516661,175.9197145,-37.08604227
Mainland Mooring 32,Mainland Island 67,1112,1468,1,0.008832362,175.8764112,-37.19695687,176.0817094,-36.9588859
Mainland Island 63,Mainland Island 67,1556,1468,2,0.017664724,175.9197145,-37.08604227,176.0817094,-36.9588859
Mainland Marina 14,Mainland Island 7,1066,1467,24,0.211976683,176.1807249,-37.667248,176.427146,-37.62318093
Mainland Oysters 5,Mainland Island 72,1603,1564,1,0.008832362,175.4346186,-36.81816769,175.1703413,-36.72299274
Mainland Mussels 29,Mainland Island 72,1625,1564,1,0.008832362,175.3419631,-36.1619629,175.1703413,-36.72299274
Mainland Oysters 16,Mainland Island 72,1597,1564,17,0.15015015,175.1699538,-36.80293957,175.1703413,-36.72299274
Mainland Mooring 60,Mainland Island 72,1140,1564,12,0.105988341,175.0542783,-36.77993391,175.1703413,-36.72299274
Mainland Mooring 63,Mainland Island 72,1143,1564,1,0.008832362,174.6975767,-36.83036881,175.1703413,-36.72299274
Mainland Mooring 30,Mainland Island 72,1110,1564,25,0.220809044,175.7147573,-36.82193521,175.1703413,-36.72299274
Homunga Bay,Mainland Island 72,1742,1564,1,0.008832362,175.9455817,-37.36152647,175.1703413,-36.72299274
Mainland Mooring 52,Mainland Island 72,1132,1564,1,0.008832362,175.345222,-36.16394119,175.1703413,-36.72299274
Mainland Beach 29,Mainland Island 72,1395,1564,1,0.008832362,175.4821611,-36.15459448,175.1703413,-36.72299274
Mainland Mooring 51,Mainland Island 72,1131,1564,1,0.008832362,175.3949998,-36.26189717,175.1703413,-36.72299274
Mainland Mooring 49,Mainland Island 72,1129,1564,1,0.008832362,174.80468,-36.30038057,175.1703413,-36.72299274
Mainland Mooring 65,Mainland Island 72,1145,1564,1,0.008832362,174.8290975,-36.42373967,175.1703413,-36.72299274
Mainland Mussels 54,Mainland Island 72,1694,1564,1,0.008832362,175.1696467,-36.80611424,175.1703413,-36.72299274
Mainland Mooring 58,Mainland Island 72,1138,1564,1,0.008832362,174.9849346,-36.75476649,175.1703413,-36.72299274
Mainland Beach 24,Mainland Island 73,1390,1565,1,0.008832362,175.4841941,-36.24546418,175.9231707,-36.62385063
Mainland Mooring 32,Mainland Island 73,1112,1565,1,0.008832362,175.8764112,-37.19695687,175.9231707,-36.62385063
Mainland Island 76,Mainland Island 74,1568,1566,1,0.008832362,175.3662661,-36.4419488,175.5515877,-36.59267813
